,weights,c,m,sigma,logL,logL_birth,nlive,pid,start_pid,end_pid
205,2.241699421038643e-229,-7.576908904986386,6.402172872444041,0.7786931800705332,-534.8812904129101,-inf,4795,683,1644,5205
206,1.2114157966554878e-228,-3.0910925790128108,-3.0923551299675145,0.25497920437510313,-533.1941498127657,-inf,4794,3918,3121,5206
207,5.866374309206598e-227,3.1407792924201727,8.618465495439969,0.2165674387631511,-529.3141176967746,-inf,4793,2954,2355,5207
208,1.7336887698181637e-226,-3.1646129277646295,-6.705149788446101,0.45627426971362794,-528.2305180068489,-inf,4792,2997,1694,5208
209,2.3229520876486944e-226,-3.481611033901344,7.006440585034865,0.2935733613413105,-527.9379305538862,-inf,4791,3921,859,5209
210,1.2525082453940132e-223,-7.7269747051747695,-2.5034559861594285,0.8217216353658174,-521.6478659661705,-inf,4790,1106,2977,5210
211,1.4460214940237686e-223,-8.634771236764864,3.8701320880886314,0.9235992897174738,-521.5041981151784,-inf,4789,1500,2937,5211
212,2.7129370410415412e-223,-8.67666702835082,-2.6899075750168056,1.00233228259613,-520.8749822762651,-inf,4788,1091,3678,5212
213,7.55610294887835e-222,-6.93462353198762,5.469863501298624,0.6699317754188483,-517.5480734359485,-inf,4787,4057,4935,5213
214,1.2920698178168963e-220,-8.70231743820578,-6.198502830589572,1.2013121066255872,-514.7090133818342,-inf,4786,807,4132,5214
215,5.1458044962288747e-219,-7.718220333294612,7.359774539139896,0.8795680753428181,-511.0244920095657,-inf,4785,3806,3409,5215
216,1.591717539759887e-218,-9.58849133315551,0.10295961238024454,1.1377677115458384,-509.89527499139774,-inf,4784,2593,4537,5216
217,2.7387553011521593e-216,8.470899589009932,-7.618185580502406,0.9333952121153688,-504.74741490478056,-inf,4783,4174,572,5217
218,3.581259996845643e-213,-7.447781742196535,-8.073535853166497,1.1508370743700747,-497.57144848041673,-inf,4782,1331,2569,5218
219,3.840468348974502e-213,0.1486008913640946,-7.052567913114771,0.3391320898503669,-497.50156884829295,-inf,4781,1513,2782,5219
220,1.1158194522023433e-212,7.269227061530885,5.366261609218372,0.4476357819485588,-496.4349890106497,-inf,4780,1034,1499,5220
221,1.7789518886650326e-212,-9.31516386496365,-8.549767238726101,1.5613508539688348,-495.9685537160551,-inf,4779,1295,2405,5221
222,7.612227181933884e-212,-7.26617989804589,7.9664576913328045,0.8593646867335214,-494.514822286116,-inf,4778,4024,1082,5222
223,7.865260505656502e-212,-8.75850356485624,-6.462101862599692,1.281911664244011,-494.48212242223497,-inf,4777,2576,4307,5223
224,9.477933089171764e-212,-3.4423873192066345,-9.443507684392616,0.7439618706000584,-494.2956118164133,-inf,4776,1814,3965,5224
225,9.48096336111337e-212,-9.535649208433469,2.7481118480214395,1.15224121603001,-494.2952921488657,-inf,4775,4469,2708,5225
226,1.7365960438261707e-211,-9.840294146380177,6.772413235733787,1.319527127619169,-493.6900660868188,-inf,4774,2890,4392,5226
227,1.922185398793335e-210,1.8028029088056163,-5.478766365543906,0.23367441015052393,-491.285945127065,-inf,4773,1585,4285,5227
228,4.515849213096208e-210,8.158361612543397,9.581758803081343,0.7772393378374187,-490.43181463810464,-inf,4772,2902,4655,5228
